a number of,some
abundance,"enough, plenty"
accede to,"allow, agree to"
accelerate,speed up
accentuate,stress
accommodation,room
accompany,"go with, with"
accomplish,"carry out, do"
accorded,given
accordingly,"thus, so"
accrue,"add, gain"
accurate,"correct, exact, right"
acquiesce,agree
acquire,get
additional,"added, more, other, extra"
addressees,you
adjacent to,next to
adjustment,change
admissible,"allowed, accepted"
advantageous,helpful
adversely impact on,"hurt, set back"
advise,"recommend, tell"
afford an opportunity,"allow, let"
aggregate,total
aircraft,plane
alleviate,"ease, reduce"
allocate,"give out, distribute, divide up"
along the lines of,"like, as in, such as"
alternatively,or
ameliorate,"improve, help, ease"
an absence of,"no, none"
anticipate,expect
apparent,"clear, plain"
appreciable,many
apprehend,arrest
appropriate,"proper, right, take"
approximate,about
arrive onboard,arrive
as a means of,to
as prescribed by,"in, under"
ascertain,"find out, learn"
assist,help
assist,"aid, help"
assistance,"aid, help"
at its discretion,"can, may"
at the moment,now
at the present time,"at present, now"
at this point in time,now
at this time,now
at your earliest convenience,as soon as you can
attain,"meet, reach"
attempt,try
attributable to,because
authorize,"allow, let"
be advised,[omit]
because of the fact that,"because, since"
beg,ask
belated,late
beneficial,"helpful, useful"
benefit,help
bestow,"give, award"
beverage,drink
bring action against,sue
by means of,"by, with"
by reason of,because
by virtue of,"by, under"
capability,ability
capable of,can
caveat,warning
cease,stop
chauffeur,driver
close proximity,near
combat environment,combat
combined,joint
commence,"begin, start"
comply with,follow
component,part
comprise,"form, include, make up"
conceal,hide
concerning,"about, on"
consequently,so
consolidate,"combine, join, merge"
constitutes,"is, forms, makes up"
contains,has
convene,meet
corridor,hall
currently,"now, [or omit]"
deem,"believe, consider, think"
delete,"cut, drop"
demonstrate,"prove, show"
depart,"leave, go"
designate,"appoint, choose, name"
desire,"want, wish"
despite the fact that,although
determine,"decide, figure, find"
disclose,show
discontinue,"drop, stop"
disseminate,"give, issue, pass, send"
due to the fact that,"because, since, due to"
during the period,"during, while"
economical,cheap
effect modifications,make changes
elect,"choose, pick"
eliminate,"cut, drop, end"
elucidate,explain
emphasize,stress
employ,use
encounter,meet
endeavor,try
enquiry,question
ensure,make sure
entitlement,right
enumerate,count
equipments,equipment
equitable,fair
equivalent,equal
establish,"set up, prove, show"
evaluate,"test, check"
evidenced,showed
evident,clear
evince,"show, prove"
excluding,except
exclusively,only
exhibit,show
expedite,"hasten, speed up, hurry"
expeditious,"fast, quick"
expend,spend
expertise,ability
expiration,end
facilitate,"ease, help"
failed to,didn't
fauna,animals
feasible,"can be done, workable"
females,women
finalize,"complete, finish"
first and foremost,first
firstly,first
flora,plants
following,after
for a period of,for
for example,"for example, such as"
for the purpose of,to
for the reason that,to
forfeit,"give up, lose"
formulate,plan
forward,send
frequently,often
function,"act, role, work"
furnish,"give, send"
has a duty to,must
has a requirement for,needs
herein,here
heretofore,until now
herewith,"below, here"
honest truth,truth
however,"but, yet"
identical,same
identify,"find, name, show"
identify with,"agree, understand"
immediately,at once
impacted,"affected, changed"
implement,"carry out, start"
in a timely manner,"on time, promptly"
in accordance with,"by, following, per, under"
in addition,"also, besides, too"
in all likelihood,probably
in an effort to,to
in between,between
in connection with,"with, about"
in excess of,more than
in favor of,for
in lieu of,instead
in light of the fact that,because
in many cases,often
in order that,"for, so"
in order to,to
in receipt of,received
in regard to,"about, concerning, on"
in regards to,"about, concerning, on"
in relation to,"about, with, to"
in some instances,sometimes
in the amount of,for
in the case of,when
in the event of,if
in the majority of instances,usually
in the nature of,like
in the near future,"shortly, soon"
in the process of,[omit]
in view of,since
in view of the above,so
inasmuch,since
inasmuch as,since
inception,start
incumbent upon,must
indicate,"show, write down, say, state, show"
indication,sign
individual,person
initial,first
initiate,start
inquire,ask
inside of,inside
institute legal proceedings against,sue
inter alia,[omit]
interface,"meet, work with"
interpose no objection,don't object
irregardless,regardless
is applicable to,applies to
is authorized to,may
is in consonance with,"agrees with, follows"
is responsible for," handles, [or omit]"
it appears,seems
it is essential,"must, need to"
it is requested,"please, we request, I request"
liaison,discussion
limited number,limits
magnitude,size
maintain,"keep, support"
majority,most
make an attempt,try
make an effort,try
make reference to,refer
maximum,"greatest, largest, most"
mental attitude,attitude
merge,combine
methodology,method
minimize,"decrease, method"
minimum,"least, smallest"
modify,change
monitor,"check, watch"
moreover,what's more
multiple,many
necessitate,"cause, need"
nevertheless,"still, besides, even so"
not able,unable
not accept,reject
not certain,uncertain
not later than,by 1600
not later than 10 May,"by 10 May, before 11 May"
not many,few
not often,"seldom, rarely"
not the same,different
not unlike,"similar, alike"
notify,"let know, tell"
notwithstanding,"in spite of, still"
null and void,"cancel, undo, withdraw"
numerous,many
objective,"aim, goal"
obligate,"bind, compel"
observe,see
obtain,get
on a daily basis,daily
on request,if you ask
on the basis of,"by, from"
on the contrary,"but, so"
on the part of,by
operate,"run, use, work"
optimum,"best, greatest, most"
option,"choice, way"
orientate,orient
outside of,outside
oversight,oversee
owing to the fact that,"because, since"
parameters,limits
participate,take part
particulars,details
pass away,die
perchance,perhaps
perform,do
permit,let
perspire,sweat
pertaining to,"about, of, on"
peruse,read
point in time,"time, point, now, moment"
portion,part
possess,"have, own"
potentiality,potential
practicable,practical
preclude,prevent
preliminary to,before
preowned,used
preparatory to,to prepare for
previous,earlier
previous to,before
previously,before
prior to,before
prioritize,rank
proceed,"do, go ahead, try"
procure,[omit]
proficiency,skill
promulgate,"issue, publish"
provide,"give, offer, say"
provide guidance for,guide
provided that,if
provides guidance for,guides
purchase,buy
pursuant to,"by, following, per, under, in response to, in carrying out, as required by"
question as to whether,question whether
question of whether,question whether
refer back,refer
reflect,"say, show"
regard as being,regard as
regarding,"about, of, on"
relative to,"about, on"
relocate,move
remain,stay
remainder,rest
remuneration,"pay, payment"
render,"give, make"
represents,is
request,ask
require,"must, need"
requirement,"need, rule"
reside,live
reside,"live, house"
residence,"live, house"
retain,keep
retire,go to bed
secondly,second
selection,choice
set forth in,in
should you wish,if you want
similar to,like
solicit,"ask for, request"
state-of-the-art,latest
strategize,plan
subject,"the, this, your"
submit,"give, send"
subsequent,"later, next, after, then"
subsequent to,"later, next, after, then"
subsequently,"later, next, after, then"
substantial,"large, much"
successfully complete,"complete, pass"
sufficient,enough
take action to,[omit]
terminate,"end, stop"
than was formerly the case,now
the month of,[omit]
the use of,[omit]
therefore,"thus, so"
therein,there
thereof,"its, their"
thirdly,third
this activity,"us, we"
time period,[either one]
timely,prompt
to be violative of,violate
took advantage of,preyed
transmit,send
transpire,happen
type,[omit]
under the provisions of,under
until such time as,until
utilization,use
utilize,use
utilize,use
utilization,use
validate,confirm
variation,change
various different,"various, different"
viable,"practical, workable"
warrant,"call for, permit"
whereas,"because, since"
whether or not,"whether, if"
whomsoever,whomever
whosoever,whoever
with a view to,"by, from"
with reference to,about
with regard to,about
with respect to,"on, about"
with the exception of,except for
with the minimum of delay,quickly
witnessed,saw
you are requested,please
your attention is drawn,"please see, please note"
your office,you
